,open_time,open,high,low,close,volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
2022-07-07 04:11:59.999,1657159740000,1184.04,1184.86,1183.58,1183.58,677.2901,1657159919999,802086.359356,809,266.9126,316081.204362,
2022-07-07 04:14:59.999,1657159920000,1183.58,1183.93,1182.45,1182.64,515.8144,1657160099999,610411.152401,744,239.6556,283612.960304,
2022-07-07 04:17:59.999,1657160100000,1182.64,1184.74,1177.26,1178.0,3868.2601,1657160279999,4566514.234819,2442,1303.7133,1538503.794822,
2022-07-07 04:20:59.999,1657160280000,1178.01,1178.87,1175.9,1177.01,3122.5021,1657160459999,3676663.866732,2734,1502.3381,1768747.852978,
2022-07-07 04:23:59.999,1657160460000,1177.0,1178.29,1174.55,1177.26,2569.6512,1657160639999,3023226.027044,2370,1114.6718,1311411.403069,
2022-07-07 04:26:59.999,1657160640000,1177.27,1177.61,1174.55,1175.79,1953.1375,1657160819999,2297519.129378,1563,786.4021,924939.517887,
2022-07-07 04:29:59.999,1657160820000,1175.79,1178.24,1175.08,1178.1,2225.8834,1657160999999,2618627.085492,1601,1217.7938,1432577.082099,
2022-07-07 04:32:59.999,1657161000000,1178.09,1179.34,1174.73,1175.2,1630.1062,1657161179999,1919241.81562,1642,578.5146,681206.270486,
2022-07-07 04:35:59.999,1657161180000,1175.2,1176.28,1171.39,1172.8,4127.9533,1657161359999,4843921.596938,3182,1837.3531,2155806.76637,
2022-07-07 04:38:59.999,1657161360000,1172.8,1173.1,1170.99,1172.11,2499.6743,1657161539999,2929756.29256,2115,1165.3467,1365802.273208,
2022-07-07 04:41:59.999,1657161540000,1172.11,1172.11,1169.0,1170.08,3733.9709,1657161719999,4369248.340219,2957,1279.3611,1496899.01955,
2022-07-07 04:44:59.999,1657161720000,1170.08,1170.28,1167.45,1167.94,4794.0307,1657161899999,5602128.388818,3984,1876.2027,2192181.096999,
2022-07-07 04:47:59.999,1657161900000,1167.95,1169.85,1166.59,1169.57,2680.7971,1657162079999,3131779.953074,3545,1230.6878,1437597.06316,
2022-07-07 04:50:59.999,1657162080000,1169.56,1172.64,1169.45,1171.91,3284.4345,1657162259999,3845709.629956,2733,2113.5763,2474430.867814,
2022-07-07 04:53:59.999,1657162260000,1171.9,1172.66,1170.87,1170.87,880.7131,1657162439999,1031934.224795,959,401.9191,470883.195437,
2022-07-07 04:56:59.999,1657162440000,1170.88,1172.05,1170.58,1170.75,698.6251,1657162619999,818356.504454,728,348.7459,408486.829795,
2022-07-07 04:59:59.999,1657162620000,1170.75,1171.99,1170.17,1170.6,2333.689,1657162799999,2732614.238382,1562,1038.2483,1215451.640185,
2022-07-07 05:02:59.999,1657162800000,1170.61,1171.85,1169.33,1171.42,1457.3651,1657162979999,1705935.545075,1318,587.1455,687234.053108,
2022-07-07 05:05:59.999,1657162980000,1171.41,1172.75,1167.58,1169.4,2167.9343,1657163159999,2536631.713911,1580,998.9728,1169141.814991,
2022-07-07 05:08:59.999,1657163160000,1169.39,1171.06,1169.39,1170.55,636.4633,1657163339999,744617.27438,733,273.0149,319426.838505,
